batch_id,production_date,product_code,shift,operator_id,inspection_id,inspection_date,inspector_id,quality_score,defect_type,defect_severity,defect_count,rework_required,comments,factory_location,defects_per_batch,inspection_month
G9781-20240606,2024-06-06,PRD-01,morning,OP-5691,INSP-20036,2024-06-06T08:56:41,INS-7741,85.3,,,0,False,No issues detected.,Factory-G9,0.0,2024-06
E1697-20240605,2024-06-05,PRD-02,afternoon,OP-4178,INSP-20037,2024-06-05T14:08:27,INS-1223,87.8,,,0,False,Batch passed; quality metrics high.,Factory-E1,0.0,2024-06
A3074-20240607,2024-06-07,PRD-03,morning,OP-0033,INSP-20038,2024-06-07T09:55:11,INS-5467,90.9,,,0,False,Inspection complete; no defects.,Factory-A2,0.0,2024-06
Z5471-20240606,2024-06-06,PRD-04,afternoon,OP-2186,INSP-20039,2024-06-06T16:25:32,INS-9876,95.8,,,0,False,Excellent batch; ready for shipment.,Factory-Z3,0.0,2024-06
Y8237-20240604,2024-06-04,PRD-01,morning,OP-0112,INSP-20040,2024-06-04T08:12:55,INS-8921,86.2,,,0,False,Batch meets all specifications.,Factory-Y7,0.0,2024-06
X0961-20240605,2024-06-05,PRD-02,afternoon,OP-4178,INSP-20041,2024-06-05T15:05:16,INS-7741,89.4,,,0,False,All inspection criteria met.,Factory-X0,0.0,2024-06
G9833-20240607,2024-06-07,PRD-03,morning,OP-5691,INSP-20042,2024-06-07T10:16:29,INS-5467,88.2,,,0,False,No defects detected.,Factory-G9,0.0,2024-06
E1804-20240606,2024-06-06,PRD-04,afternoon,OP-2517,INSP-20043,2024-06-06T15:14:57,INS-7741,91.7,,,0,False,"Batch inspected, no issues.",Factory-E1,0.0,2024-06
A3265-20240604,2024-06-04,PRD-01,afternoon,OP-0033,INSP-20044,2024-06-04T14:51:14,INS-1223,86.9,,,0,False,Batch meets all standards.,Factory-A2,0.0,2024-06
Z5651-20240607,2024-06-07,PRD-02,morning,OP-5691,INSP-20045,2024-06-07T09:59:46,INS-8921,87.3,,,0,False,No defects detected.,Factory-Z3,0.0,2024-06
Y8492-20240606,2024-06-06,PRD-03,afternoon,OP-2517,INSP-20046,2024-06-06T16:13:39,INS-2048,76.2,scratch,2.0,2,False,"Minor scratch observed, batch is approved.",Factory-Y7,2.0,2024-06
X1106-20240604,2024-06-04,PRD-04,morning,OP-0033,INSP-20047,2024-06-04T10:39:03,INS-5467,79.8,dent,1.0,1,False,"Minor dent detected, batch passes.",Factory-X0,1.0,2024-06
G9912-20240607,2024-06-07,PRD-01,afternoon,OP-2186,INSP-20048,2024-06-07T15:36:21,INS-7741,80.7,marking,2.0,1,False,"Marking found, batch accepted.",Factory-G9,1.0,2024-06
E1923-20240606,2024-06-06,PRD-02,morning,OP-0112,INSP-20049,2024-06-06T08:22:44,INS-2048,75.4,discoloration,2.0,2,False,"Minor discoloration, batch passes.",Factory-E1,2.0,2024-06
A3469-20240607,2024-06-07,PRD-03,afternoon,OP-0033,INSP-20050,2024-06-07T16:02:44,INS-5467,80.2,foreign_object,2.0,2,False,"Foreign object detected, batch approved.",Factory-A2,2.0,2024-06
A3012-20240601,2024-06-01,PRD-01,morning,OP-5691,INSP-0001,2024-06-01T09:25:00,INS-3240,99.9,,,0,False,No issues detected. Batch meets all quality benchmarks.,Factory-E1,0.0,2024-06
B5120-20240601,2024-06-01,PRD-02,afternoon,OP-2186,INSP-0002,2024-06-01T15:10:00,INS-5648,77.6,scratch,1.0,1,False,"Minor scratch noted, within tolerance for PRD-02.",Factory-A2,1.0,2024-06
C1745-20240602,2024-06-02,PRD-03,night,OP-0033,INSP-0003,2024-06-03T01:47:00,INS-4178,48.1,misalignment,3.0,5,True,Batch failed due to misalignment. Requires full rework.,Factory-Z3,5.0,2024-06
D4567-20240602,2024-06-02,PRD-02,afternoon,OP-7777,INSP-0004,2024-06-02T16:15:00,INS-2517,84.2,marking,2.0,2,False,"Spot marking observed, does not affect batch performance.",Factory-Y7,2.0,2024-06
E3289-20240603,2024-06-03,PRD-04,morning,OP-0001,INSP-0005,2024-06-03T10:35:00,INS-0112,100.0,,,0,False,Perfect batch. No defects detected.,Factory-X0,0.0,2024-06
F1778-20240603,2024-06-03,PRD-01,afternoon,OP-1674,INSP-0006,2024-06-03T15:53:00,INS-3452,93.8,,,0,False,Exceeded benchmarks. Batch PRD-01 is exemplary.,Factory-G9,0.0,2024-06
G5762-20240604,2024-06-04,PRD-02,night,OP-2517,INSP-0007,2024-06-05T00:58:00,INS-5691,59.2,contamination,4.0,6,True,Contamination detected; batch must be reworked.,Factory-E1,6.0,2024-06
H4893-20240604,2024-06-04,PRD-03,afternoon,OP-5691,INSP-0008,2024-06-04T16:02:00,INS-5648,78.3,dent,2.0,2,False,Minor dent noted but batch passes inspection.,Factory-A2,2.0,2024-06
I6432-20240605,2024-06-05,PRD-04,morning,OP-0033,INSP-0009,2024-06-05T10:00:00,INS-4178,100.0,,,0,False,No issues detected in PRD-04 batch.,Factory-Z3,0.0,2024-06
J2084-20240605,2024-06-05,PRD-01,afternoon,OP-2186,INSP-0010,2024-06-05T15:05:00,INS-2517,82.0,marking,1.0,1,False,"Light marking observed, batch passes.",Factory-Y7,1.0,2024-06
K7182-20240606,2024-06-06,PRD-03,morning,OP-7777,INSP-0011,2024-06-06T10:18:00,INS-0112,98.8,,,0,False,"No defects, batch PRD-03 is acceptable.",Factory-X0,0.0,2024-06
L6302-20240606,2024-06-06,PRD-02,night,OP-1674,INSP-0012,2024-06-07T01:10:00,INS-3452,41.5,mislabel,3.0,8,True,"Mislabeling detected, batch failed and requires rework.",Factory-G9,8.0,2024-06
M4589-20240607,2024-06-07,PRD-04,afternoon,OP-5691,INSP-0013,2024-06-07T15:35:00,INS-5648,76.2,discoloration,2.0,1,False,"Minor discoloration, within tolerance.",Factory-E1,1.0,2024-06
N1892-20240607,2024-06-07,PRD-01,morning,OP-2517,INSP-0014,2024-06-07T08:42:00,INS-5691,97.2,,,0,False,"Excellent batch, PRD-01 passed all checks.",Factory-A2,0.0,2024-06
O5732-20240608,2024-06-08,PRD-02,afternoon,OP-0033,INSP-0015,2024-06-08T16:00:00,INS-4178,63.0,cracking,4.0,7,True,"Cracking detected, batch failed and sent for rework.",Factory-Z3,7.0,2024-06
P9210-20240609,2024-06-09,PRD-04,morning,OP-2186,INSP-0016,2024-06-09T09:10:00,INS-2517,99.5,,,0,False,No issues. PRD-04 batch cleared for shipping.,Factory-Y7,0.0,2024-06
Q1834-20240609,2024-06-09,PRD-03,night,OP-7777,INSP-0017,2024-06-10T00:45:00,INS-0112,44.6,contamination,3.0,4,True,Contamination above acceptable levels; batch sent for rework.,Factory-X0,4.0,2024-06
R4675-20240610,2024-06-10,PRD-02,afternoon,OP-1674,INSP-0018,2024-06-10T15:30:00,INS-3452,88.4,,,0,False,"High quality batch, no defects found.",Factory-G9,0.0,2024-06
S2941-20240610,2024-06-10,PRD-01,morning,OP-5691,INSP-0019,2024-06-10T09:48:00,INS-5648,79.8,dent,2.0,2,False,"Minor dent observed, within quality tolerance.",Factory-E1,2.0,2024-06
T8720-20240611,2024-06-11,PRD-03,afternoon,OP-2517,INSP-0020,2024-06-11T14:22:00,INS-5691,91.6,,,0,False,Batch PRD-03 meets all quality requirements.,Factory-A2,0.0,2024-06
U5423-20240611,2024-06-11,PRD-04,night,OP-0033,INSP-0021,2024-06-12T00:30:00,INS-4178,4.7,major_crack,4.0,17,True,Complete failure. Batch must be discarded.,Factory-Z3,17.0,2024-06
V9181-20240612,2024-06-12,PRD-02,afternoon,OP-2186,INSP-0022,2024-06-12T15:00:00,INS-2517,100.0,,,0,False,"Perfect batch, no issues detected.",Factory-Y7,0.0,2024-06
W3615-20240612,2024-06-12,PRD-01,morning,OP-7777,INSP-0023,2024-06-12T11:45:00,INS-0112,86.5,,,0,False,Batch PRD-01 passed without defects.,Factory-X0,0.0,2024-06
X5072-20240613,2024-06-13,PRD-04,afternoon,OP-1674,INSP-0024,2024-06-13T16:10:00,INS-3452,71.2,foreign_object,1.0,1,False,"Minor foreign object detected, batch approved.",Factory-G9,1.0,2024-06
Y6938-20240613,2024-06-13,PRD-03,night,OP-5691,INSP-0025,2024-06-14T02:05:00,INS-5648,58.9,cracking,3.0,5,True,"Cracking observed, batch requires rework.",Factory-E1,5.0,2024-06
Z4039-20240614,2024-06-14,PRD-02,afternoon,OP-2517,INSP-0026,2024-06-14T14:50:00,INS-5691,95.0,,,0,False,Batch PRD-02 meets all specs. No defects.,Factory-A2,0.0,2024-06
A5016-20240614,2024-06-14,PRD-01,morning,OP-0033,INSP-0027,2024-06-14T09:35:00,INS-4178,80.4,discoloration,2.0,1,False,"Discoloration noted, batch approved.",Factory-Z3,1.0,2024-06
B2783-20240615,2024-06-15,PRD-03,afternoon,OP-2186,INSP-0028,2024-06-15T14:35:00,INS-2517,67.3,misalignment,4.0,10,True,"Misalignment detected, batch failed.",Factory-Y7,10.0,2024-06
C5401-20240615,2024-06-15,PRD-04,morning,OP-7777,INSP-0029,2024-06-15T08:40:00,INS-0112,97.8,,,0,False,"No defects, batch passed.",Factory-X0,0.0,2024-06
D3094-20240616,2024-06-16,PRD-01,afternoon,OP-1674,INSP-0030,2024-06-16T15:15:00,INS-3452,86.7,,,0,False,Batch PRD-01 meets standards.,Factory-G9,0.0,2024-06
E8257-20240616,2024-06-16,PRD-03,night,OP-5691,INSP-0031,2024-06-17T02:12:00,INS-5648,49.7,contamination,3.0,6,True,Batch requires rework due to contamination.,Factory-E1,6.0,2024-06
F6324-20240617,2024-06-17,PRD-02,afternoon,OP-2517,INSP-0032,2024-06-17T14:37:00,INS-5691,89.1,,,0,False,Batch PRD-02 cleared for shipment.,Factory-A2,0.0,2024-06
G9310-20240617,2024-06-17,PRD-04,morning,OP-0033,INSP-0033,2024-06-17T10:10:00,INS-4178,74.5,scratch,1.0,2,False,"Minor scratch observed, batch passes.",Factory-Z3,2.0,2024-06
H4281-20240618,2024-06-18,PRD-01,afternoon,OP-2186,INSP-0034,2024-06-18T16:00:00,INS-2517,99.1,,,0,False,"Batch meets all requirements, no defects.",Factory-Y7,0.0,2024-06
I9512-20240618,2024-06-18,PRD-03,morning,OP-7777,INSP-0035,2024-06-18T08:25:00,INS-0112,85.6,,,0,False,No issues detected in morning shift batch.,Factory-X0,0.0,2024-06
J7810-20240619,2024-06-19,PRD-02,night,OP-1674,INSP-0036,2024-06-20T01:49:00,INS-3452,52.3,mislabel,3.0,5,True,"Batch failed due to mislabel, rework required.",Factory-G9,5.0,2024-06
K4018-20240619,2024-06-19,PRD-01,afternoon,OP-5691,INSP-0037,2024-06-19T14:25:00,INS-5648,62.8,misalignment,4.0,8,True,"Misalignment detected, batch sent for rework.",Factory-E1,8.0,2024-06
L2384-20240620,2024-06-20,PRD-03,morning,OP-2517,INSP-0038,2024-06-20T10:30:00,INS-5691,99.7,,,0,False,Batch PRD-03 rated excellent.,Factory-A2,0.0,2024-06
M6097-20240620,2024-06-20,PRD-04,afternoon,OP-0033,INSP-0039,2024-06-20T16:10:00,INS-4178,83.9,marking,2.0,1,False,"Minor marking noted in batch, within tolerance.",Factory-Z3,1.0,2024-06
N1839-20240621,2024-06-21,PRD-01,morning,OP-2186,INSP-0040,2024-06-21T09:10:00,INS-2517,100.0,,,0,False,"Perfect batch, no defects.",Factory-Y7,0.0,2024-06
O8342-20240621,2024-06-21,PRD-03,night,OP-7777,INSP-0041,2024-06-22T01:30:00,INS-0112,98.2,,,0,False,Batch passed all inspections with high score.,Factory-X0,0.0,2024-06
P3295-20240622,2024-06-22,PRD-02,afternoon,OP-1674,INSP-0042,2024-06-22T15:40:00,INS-3452,81.7,scratch,1.0,1,False,"Light scratch observed, batch passes.",Factory-G9,1.0,2024-06
Q5091-20240622,2024-06-22,PRD-04,morning,OP-5691,INSP-0043,2024-06-22T11:15:00,INS-5648,92.3,,,0,False,Batch PRD-04 is approved for shipment.,Factory-E1,0.0,2024-06
R2806-20240623,2024-06-23,PRD-01,afternoon,OP-2517,INSP-0044,2024-06-23T14:10:00,INS-5691,60.4,misalignment,4.0,9,True,"Severe misalignment detected, batch sent for rework.",Factory-A2,9.0,2024-06
S1935-20240623,2024-06-23,PRD-03,night,OP-0033,INSP-0045,2024-06-24T02:40:00,INS-4178,6.3,major_crack,4.0,19,True,Complete failure. Batch will be discarded.,Factory-Z3,19.0,2024-06
T8452-20240624,2024-06-24,PRD-04,morning,OP-2186,INSP-0046,2024-06-24T08:55:00,INS-2517,97.5,,,0,False,No defects found during inspection.,Factory-Y7,0.0,2024-06
U3917-20240624,2024-06-24,PRD-01,afternoon,OP-7777,INSP-0047,2024-06-24T15:23:00,INS-0112,76.9,dent,2.0,1,False,"Minor dent found, batch passes.",Factory-X0,1.0,2024-06
V8093-20240625,2024-06-25,PRD-03,night,OP-1674,INSP-0048,2024-06-26T00:03:00,INS-3452,47.5,contamination,3.0,6,True,Batch failed due to contamination.,Factory-G9,6.0,2024-06
W5076-20240625,2024-06-25,PRD-02,afternoon,OP-5691,INSP-0049,2024-06-25T14:57:00,INS-5648,98.2,,,0,False,Batch PRD-02 meets all benchmarks.,Factory-E1,0.0,2024-06
X1834-20240626,2024-06-26,PRD-01,morning,OP-2517,INSP-0050,2024-06-26T11:13:00,INS-5691,100.0,,,0,False,"Exceptional batch, no defects.",Factory-A2,0.0,2024-06
